0,md5,,,网站名称,刊登频道名称,尺寸规范,区域,地域定向,频次控制,投放周期,特殊要求,版位定价(千人成本),总广告曝光(000'),总价,单位点击数,预估总广告点击数字 ,预计CTR,预计CPC,Nov.2018,,,,,,,,,,,Dec.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan.2019,,,,,,,,,
1,md5,,,Site,Channel,Video Length,Region,Geographical Direction,Frequency,Period,Specific Direction,Net Cost (CPM),Total Imp (000'),Total Net Cost,Unit Clicks,Ested Total Clicks ,Ested CTR,Ested CPC,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-1,2018-12-2,2018-12-3,2018-12-4,2018-12-5,2018-12-6,2018-12-7,2018-12-8,2018-12-9,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-15,2018-12-16,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-22,2018-12-23,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2018-12-29,2018-12-30,2018-12-31,2019-1-1,2019-1-2,2019-1-3,2019-1-4,2019-1-5,2019-1-6,2019-1-7,2019-1-8,2019-1-9,2019-1-10
44,,1476.06,7,ALI APP-PDB,视频播放页,15s Preroll 视频(Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比120%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,,1476.06,7,ALI APP-PDB,视频播放页,15s Preroll 视频(Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比100%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,,1476.06,7,ALI APP-PDB,视频播放页,15s Preroll 视频(Mobile),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,,1476.06,7,ALI APP-PDB,视频播放页,15s Preroll 视频(Mobile),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比100%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,,1476.06,7,ALI APP-PDB,视频播放页,15s Preroll 视频(Mobile),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比100%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,,1476.06,7,ALI APP-PDB,视频播放页,15s Preroll 视频(Mobile),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,,,,99999,,,,,,,,打包价Package:,18,1476.06,,144,0.008,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,738,8,ALI APP-PDB,视频播放页,15s Preroll 视频(OTT),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比120%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,,738,8,ALI APP-PDB,视频播放页,15s Preroll 视频(OTT),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比100%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,,738,8,ALI APP-PDB,视频播放页,15s Preroll 视频(OTT),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,,738,8,ALI APP-PDB,视频播放页,15s Preroll 视频(OTT),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比100%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,,738,8,ALI APP-PDB,视频播放页,15s Preroll 视频(OTT),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比100%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,,738,8,ALI APP-PDB,视频播放页,15s Preroll 视频(OTT),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,,,,99999,,,,,,,,打包价Package:,6,738,,144,0.024,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,1476.06,9,ALI APP-PD,视频播放页,15s Preroll 视频(Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比200%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,,1476.06,9,ALI APP-PD,视频播放页,15s Preroll 视频(Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比120%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,,1476.06,9,ALI APP-PD,视频播放页,15s Preroll 视频(Mobile),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比200%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,,1476.06,9,ALI APP-PD,视频播放页,15s Preroll 视频(Mobile),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,,1476.06,9,ALI APP-PD,视频播放页,15s Preroll 视频(Mobile),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比200%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,,1476.06,9,ALI APP-PD,视频播放页,15s Preroll 视频(Mobile),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,3,246.01,340,1020,0.34,0.24,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,,,,99999,,,,,,,,打包价Package:,18,1476.06,,144,0.008,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,738,10,ALI APP-PD,视频播放页,15s Preroll 视频(OTT),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比200%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,,738,10,ALI APP-PD,视频播放页,15s Preroll 视频(OTT),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),2 Per Week,2018.11.20-2019.01.10,返还比120%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,,738,10,ALI APP-PD,视频播放页,15s Preroll 视频(OTT),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比200%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,,738,10,ALI APP-PD,视频播放页,15s Preroll 视频(OTT),SCCL,Fujian,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,,738,10,ALI APP-PD,视频播放页,15s Preroll 视频(OTT),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比200%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,,738,10,ALI APP-PD,视频播放页,15s Preroll 视频(OTT),CBL,Tianjin,2 Per Week,2018.11.20-2019.01.10,返还比120%,123,1,123,340,340,0.34,0.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,,,,99999,,,,,,,,打包价Package:,6,738,,144,0.024,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,1573,11,FUN VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,35.75,9,321.75,340,3060,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,,1573,11,FUN VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比150%,35.75,9,321.75,340,3060,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,,1573,11,FUN VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Fujian,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,35.75,8,286,340,2720,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,,1573,11,FUN VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Fujian,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比150%,35.75,8,286,340,2720,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,,1573,11,FUN VIDEO-PD,视频播放页,15s Preroll (PC),CBL,Tianjin,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,35.75,5,178.75,340,1700,0.34,0.11,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,,1573,11,FUN VIDEO-PD,视频播放页,15s Preroll (PC),CBL,Tianjin,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比150%,35.75,5,178.75,340,1700,0.34,0.11,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,,,,99999,,,,,,,,打包价Package:,44,1573,,1160,0.0264,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,2574,12,FUN VIDEO-PD,视频播放页,15s Preroll (Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,35.75,14,500.5,340,4760,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,,2574,12,FUN VIDEO-PD,视频播放页,15s Preroll (Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比150%,35.75,14,500.5,340,4760,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,,2574,12,FUN VIDEO-PD,视频播放页,15s Preroll (Mobile),SCCL,Fujian,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,35.75,14,500.5,340,4760,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,,2574,12,FUN VIDEO-PD,视频播放页,15s Preroll (Mobile),SCCL,Fujian,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比150%,35.75,14,500.5,340,4760,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,,2574,12,FUN VIDEO-PD,视频播放页,15s Preroll (Mobile),CBL,Tianjin,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,35.75,8,286,340,2720,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,,2574,12,FUN VIDEO-PD,视频播放页,15s Preroll (Mobile),CBL,Tianjin,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比150%,35.75,8,286,340,2720,0.34,0.11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,,,,99999,,,,,,,,打包价Package:,72,2574,,1160,0.0161,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,1372.8,13,MANGO VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比130%,57.2,5,286,0,0,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,,1372.8,13,MANGO VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,57.2,5,286,0,0,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,,1372.8,13,MANGO VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Fujian,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比130%,57.2,5,286,0,0,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,,1372.8,13,MANGO VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Fujian,3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺频道 返还比200%,57.2,5,286,0,0,0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
